Phenylpropanoids,Cardenolides
9.2,24.4
9.6,15.5
10.0,13.9
16.6,10.9
22.5,24.4
10.7,28.2
11.1,12.2
15.5,25.0
17.3,29.5
,12.8
,23.0
,25.5
,30.0
