Phenylpropanoids,Cardenolides
5.1,10.4
13.2,14.4
5.5,19.8
13.9,17.1
5.8,16.4
14.4,20.4
5.9,21.4
6.4,15.4
10.4,20.9
14.6,21.9
22.2,8.2
6.4,15.6
10.4,21.1
6.0,23.2
10.5,24.1
14.7,15.7
6.0,17.9
6.0,22.1
10.5,23.8
6.0,27.3
10.5,8.2
14.7,21.2
5.9,21.7
10.5,22.2
14.6,23.5
5.9,24.1
6.4,27.3
10.4,8.2
14.6,15.8
22.2,21.3
5.9,8.2
10.4,15.7
14.6,21.2
22.1,23.3
,22.2
,23.3
,24.2
,8.2
,21.1
,8.1
,21.1
,23.2
,23.5
