Phenylpropanoids,Cardenolides
5.5,17.1
6.0,20.3
9.8,26.4
5.7,15.3
6.2,17.4
10.1,20.8
14.3,7.8
5.6,14.1
6.1,20.4
10.0,20.5
17.2,21.6
21.4,23.2
6.1,26.7
10.0,6.1
5.6,17.3
10.0,20.6
14.1,22.6
21.6,23.5
5.6,17.3
9.9,20.5
14.0,14.1
5.5,20.4
5.5,17.2
13.9,20.4
5.5,17.1
6.0,20.3
9.8,26.4
5.5,20.2
5.9,17.0
9.7,23.2
13.8,26.3
21.2,16.9
5.5,20.2
13.7,16.9
5.4,20.1
13.6,
21.0,
